Fecha,Volatilidad_PRECIO_POR_LT
2021-01-31,
2021-02-28,
2021-03-31,
2021-04-30,
2021-05-31,4.867248655689117
2021-06-30,4.783289215528724
2021-07-31,3.4507561312475703
2021-08-31,1.223201053803085
2021-09-30,2.655378044955793
2021-10-31,3.53259865234817
2021-11-30,3.4367421352669347
2021-12-31,3.8346138570661563
2022-01-31,3.4500345201717457
2022-02-28,3.3185615772831425
2022-03-31,3.410548506549035
2022-04-30,4.394946186470996
2022-05-31,4.287320815436054
2022-06-30,2.9691807711382685
2022-07-31,3.3053124466002624
2022-08-31,0.9857930842136993
2022-09-30,1.3372705529876094
2022-10-31,1.678715039512158
2022-11-30,1.5336507526910352
2022-12-31,1.375820137612302
2023-01-31,1.314384501480383
2023-02-28,1.799936471870132
2023-03-31,2.3208206895661454
2023-04-30,2.589372396390043
2023-05-31,2.521802269183772
2023-06-30,2.2460913489389887
2023-07-31,1.4785797833947514
2023-08-31,1.3183053706621977
2023-09-30,1.0744799508708125
2023-10-31,0.47297601344378315
2023-11-30,0.881024869424529
2023-12-31,1.1471444179452097
2024-01-31,2.0461564000220966
2024-02-29,1.9505920034347177
2024-03-31,2.0774041506999765
2024-04-30,1.8164092617314673
